"Code","Name"
"0057.TW","FB摩台"
"5264.TW","F-鎧勝"
"1434.TW","福懋"
"8086.TWO","宏捷"
"2886.TW","兆豐金"
"1232.TW","大統益"
"3535.TW","晶彩科"
"3058.TW","立德"
"1815.TWO","富喬"
"5603.TWO","陸海"
"4746.TW","台耀化學"
"3521.TWO","鴻翊"
"911608.TW","明輝"
"1785.TWO","光洋料"
"8299.TWO","群聯"
"4973.TWO","廣穎"
"006208.TW","FB台50"
"1742.TWO","台蠟"
"4911.TWO","德英"
"6286.TW","立錡科技"
"4903.TWO","聯光通"
"1777.TWO","生泰"
"4946.TWO","辣椒"
"5452.TWO","佶優"
"3479.TWO","安勤"
"4109.TWO","加捷"
"4303.TWO","信立化"
"6198.TWO","凌泰"
"2849.TW","安泰商銀"
"1210.TW","大成長城"
"1456.TW","怡華"
"1583.TW","程泰"
"3036.TW","文曄"
"2105.TW","正新橡膠"
"3557.TW","嘉威光電"
"1725.TW","元禎"
"911201.TW","僑威"
"2535.TW","達欣工"
"2852.TW","第一保"
"3501.TW","維熹科技"
"0080.TW","恒中國"
"9928.TW","中國電視"
"2059.TW","川湖"
"1909.TW","榮成紙業"
"2393.TW","億光"
"6161.TWO","捷波"
"2489.TW","瑞軒"
"5704.TWO","老爺知"
"1526.TW","日馳"
"5102.TWO","富強"
"6117.TW","迎廣"
"2884.TW","玉山金"
"2477.TW","美隆電"
"8917.TWO","欣泰"
"1432.TW","大魯閣"
"6127.TWO","九豪"
"4402.TWO","福大"
"2723.TW","F-美食"
"2316.TW","楠梓電"
"006206.TW","元上證"
"3171.TWO","新洲"
"3607.TW","谷崧精密"
"2371.TW","大同"
"5534.TW","長虹"
"1701.TW","中國化學"
"1558.TW","伸興"
"3163.TWO","波若威"
"8078.TW","華寶通訊"
"3092.TWO","鴻碩"
"6147.TWO","頎邦"
"4974.TWO","亞泰"
"3236.TWO","千如"
"8079.TWO","誠遠"
"2537.TW","聯上開發"
"2107.TW","厚生"
"1333.TWO","恩得利"
"3559.TW","全智科技"
"1813.TWO","寶利徠"
"8084.TWO","巨虹"
"2608.TW","嘉里大榮"
"3034.TW","聯詠"
"9802.TW","F-鈺齊"
"6184.TW","大豐電"
"1618.TW","合機電纜"
"2850.TW","新光產險"
"3064.TWO","泰偉"
"2431.TW","聯昌"
"3191.TWO","和進"
"1444.TW","力麗"
"3522.TWO","宏森"
"1608.TW","華榮"
"3264.TWO","欣銓"
"2013.TW","中鋼構"
"5432.TWO","達威"
"4947.TWO","昂寶"
"9918.TW","欣天然"
"1713.TW","國泰化工"
"3686.TW","達能科技"
"4123.TWO","晟德"
"1599.TWO","宏佳騰"
"1514.TW","亞力電機"
"1338.TW","F-廣華"
"1409.TW","新光合纖"
"5353.TWO","台林"
"2465.TW","麗臺"
"5425.TWO","台半"
"2910.TW","統領百貨"
"5310.TWO","天剛"
"9946.TWO","三發"
"3416.TWO","融程電"
"1466.TW","聚隆纖維"
"5274.TWO","信驊"
"6172.TW","互億"
"1410.TW","南洋染整"
"1735.TW","日勝化工"
"1305.TW","華夏塑膠"
"2383.TW","台光電"
"2499.TW","東貝"
"3085.TWO","久大"
"6160.TWO","欣技"
"8923.TWO","時報"
"1234.TW","黑松"
"2701.TW","萬企"
"2443.TW","新利虹"
"9941.TW","裕融"
"6209.TW","今國光學"
"3046.TW","建碁"
"2338.TW","光罩"
"1784.TWO","訊聯"
"5349.TWO","先豐"
"3306.TWO","鼎天"
"2332.TW","友訊"
"0059.TW","FB金融"
"5438.TWO","東友"
"2034.TW","允強"
"3675.TWO","德微"
"3489.TWO","森寶"
"2538.TW","基泰"
"8039.TW","台虹"
"3703.TW","欣陸"
"1304.TW","台灣聚合"
"6133.TW","金橋"
"3062.TW","建漢"
"4510.TWO","高鋒"
"4703.TWO","揚華"
"2924.TWO","F-東凌"
"6103.TWO","合邦"
"5484.TW","慧友"
"3490.TWO","單井"
"4154.TWO","F-康樂"
"2618.TW","長榮航"
"3217.TWO","優群"
"6111.TWO","大宇"
"6231.TWO","系微"
"6283.TW","淳安電子"
"8049.TWO","晶采"
"8421.TWO","旭源"
"8131.TW","福懋科技"
"4711.TWO","永純"
"2847.TW","大眾商銀"
"006204.TW","豐臺灣"
"2904.TW","匯僑"
"1808.TW","潤隆"
"1454.TW","臺灣富綢"
"2103.TW","台橡"
"2882.TW","國泰金"
"6182.TWO","合晶"
"4502.TWO","源恆"
"6118.TWO","建達"
"1236.TW","宏亞食品"
"3144.TWO","新揚"
"1614.TW","三洋電機"
"1339.TW","昭輝"
"6224.TW","聚鼎科技"
