"Code","Symbol","Industry","Board"
"BDI.TO","Black Diamond Group","Equity","Toronto"
"BDT.TO","Bird Construction ","Equity","Toronto"
"BEI-UN.TO","Boardwalk REIT Un","Equity","Toronto"
"BEK-B.TO","Becker Milk Cl B NV","Equity","Toronto"
"BEP-UN.TO","Brookfield Renew Un","Equity","Toronto"
"BGI-UN.TO","Brkfld GlbInfras Sec","Equity","Toronto"
"BHY-UN.TO","Brookfield HiYldStgy","Equity","Toronto"
"BIG-D.TO","Big 8 Split Cl D Cap","Equity","Toronto"
"BIN.TO","Progressive Waste","Equity","Toronto"
"BIP-UN.TO","Brookfield Infras Un","Equity","Toronto"
"BIR.TO","Birchcliff Energy","Equity","Toronto"
"BI-UN.TO","Bloom IncmGro Cdn Un","Equity","Toronto"
"BK.TO","Cdn Banc Corp. Cl 'A'","Equity","Toronto"
"BKI.TO","Black Iron Inc. J","Equity","Toronto"
"BKX.TO","BNK Petroleum Inc. J","Equity","Toronto"
"BLB-UN.TO","Bloom Select Incm Un","Equity","Toronto"
"BLD.TO","Ballard Power Sys","Equity","Toronto"
"BLU.TO","BELLUS Health Inc.","Equity","Toronto"
"BLX.TO","Boralex Inc. Cl A","Equity","Toronto"
"BMO.TO","Bank of Montreal","Equity","Toronto"
"BNE.TO","Bonterra Energy Corp.","Equity","Toronto"
"BNG.TO","Bengal Energy Ltd. J","Equity","Toronto"
"BNK.TO","Bankers Petroleum J","Equity","Toronto"
"BNP.TO","Bonavista Energy ","Equity","Toronto"
"BNS.TO","Bank of Nova Scotia","Equity","Toronto"
"BOS.TO","Airboss of America J","Equity","Toronto"
"BOX-UN.TO","Brookfld Cda Office","Equity","Toronto"
"BOY.TO","Boyuan Constr J","Equity","Toronto"
"BPF-UN.TO","Boston Pizza Fnd Un","Equity","Toronto"
"BPY-UN.TO","Brookfld Ppty LP Un","Equity","Toronto"
"BQE.TO","BioteQ Environmntl J","Equity","Toronto"
"BR.TO","Big Rock Brewery Inc.","Equity","Toronto"
"BRB.TO","Brick Brewing J","Equity","Toronto"
"BRE.TO","Brookfield Rl Est RV","Equity","Toronto"
"BRY.TO","Bri-Chem Corp.","Equity","Toronto"
"BSC.TO","BNS Split Corp. II A","Equity","Toronto"
"BSD-UN.TO","Brookfld Sndvest Cap","Equity","Toronto"
"BSE-UN.TO","Brookfld Snd Eqty Un","Equity","Toronto"
"BSO-UN.TO","Brookfld Selct Oppor","Equity","Toronto"
"BSX.TO","Belo Sun Mining J","Equity","Toronto"
"BTB-UN.TO","BTB REIT Un","Equity","Toronto"
"BTE.TO","Baytex Energy Corp.","Equity","Toronto"
"BTO.TO","B2Gold Corp. J","Equity","Toronto"
"BU.TO","Burcon NutraSc. J","Equity","Toronto"
"BUA-UN.TO","Bloom US Incm&Gro Un","Equity","Toronto"
"BUF.TO","Buffalo Coal Corp.","Equity","Toronto"
"BUI.TO","Buhler Industries","Equity","Toronto"
"BX.TO","BIOX Corporation J","Equity","Toronto"
"BXE.TO","Bellatrix Expl Ltd.","Equity","Toronto"
"BYD-UN.TO","Boyd Group Fnd Tr Un","Equity","Toronto"
"BYL.TO","Baylin Tech Inc. J","Equity","Toronto"
"CAA.TO","Callinan Rylty Corp.","Equity","Toronto"
"CAE.TO","CAE Inc.","Equity","Toronto"
"CAG-UN.TO","Coxe Glbl AgriBus Un","Equity","Toronto"
"CAH-UN.TO","Cdn HighYld Focus Un","Equity","Toronto"
"CAL.TO","Caledonia Mining","Equity","Toronto"
"CAM.TO","Canam Group Inc.","Equity","Toronto"
"CAR-UN.TO","Cdn Apartment Tr Un","Equity","Toronto"
"CAS.TO","Cascades Inc.","Equity","Toronto"
"CAX.TO","Candax Energy Inc.","Equity","Toronto"
"CAZ.TO","Caza Oil & Gas, J","Equity","Toronto"
"CBF.TO","CanBanc 8IncmCorp. Eq","Equity","Toronto"
"CBL.TO","Callidus Cap Corp.","Equity","Toronto"
"CCA.TO","Cogeco Cable Inc SV","Equity","Toronto"
"CCI-UN.TO","Cdn Convert Plus Un","Equity","Toronto"
"CCL-A.TO","CCL Industries Cl A","Equity","Toronto"
"CCL-B.TO","CCL Industries Cl B","Equity","Toronto"
"CCM.TO","Canarc Resource J","Equity","Toronto"
"CCO.TO","Cameco Corp.","Equity","Toronto"
"CCT.TO","Catamaran Corp.","Equity","Toronto"
"CCV.TO","CounterPath Corp. J","Equity","Toronto"
"CCZ.TO","CriticalControl J","Equity","Toronto"
"CDD-UN.TO","Core Cdn Dividend Un","Equity","Toronto"
"CDG.TO","Candente Gold Corp. J","Equity","Toronto"
"CDH.TO","Corridor Resources","Equity","Toronto"
"CDI.TO","CanElson Drilling","Equity","Toronto"
"CDU.TO","Cardero Resource J","Equity","Toronto"
"CDV.TO","COM DEV Int'l Ltd.","Equity","Toronto"
"CEE.TO","Centamin plc. Ord","Equity","Toronto"
"CEF-A.TO","Central Fund Cl A NV","Equity","Toronto"
"CEF-U.TO","Central Fund A NV US","Equity","Toronto"
"CET.TO","Cathedral Engy Serv","Equity","Toronto"
"CEU.TO","Cdn Energy Serv&Tech","Equity","Toronto"
"CF.TO","Canaccord Genuity","Equity","Toronto"
"CFF.TO","Conifex Timber Inc.","Equity","Toronto"
"CFP.TO","Canfor Corp.","Equity","Toronto"
"CFW.TO","Calfrac Well Serv","Equity","Toronto"
"CFX.TO","Canfor Pulp Products","Equity","Toronto"
"CG.TO","Centerra Gold Inc.","Equity","Toronto"
"CGG.TO","China Gld Intl Res J","Equity","Toronto"
"CGI.TO","Canadian General Inv","Equity","Toronto"
"CGJ.TO","Carlisle Goldfields J","Equity","Toronto"
"CGO.TO","Cogeco Inc. SV","Equity","Toronto"
"CGX.TO","Cineplex Inc.","Equity","Toronto"
"CHE-UN.TO","Chemtrade Logistc Un","Equity","Toronto"
"CHH.TO","Centric Health J","Equity","Toronto"
"CHP-UN.TO","Choice Ppty REIT Un","Equity","Toronto"
"CHR-A.TO","Chorus Aviation A VV","Equity","Toronto"
"CHR-B.TO","Chorus Aviation B V","Equity","Toronto"
"CHW.TO","Chesswood Group Ltd.","Equity","Toronto"
"CIA.TO","Champion Iron Ord J","Equity","Toronto"
"CIC.TO","CanBanc Incm Eqty NV","Equity","Toronto"
"CIQ-UN.TO","Cdn High Incm Eq Un","Equity","Toronto"
"CIX.TO","CI Financial Corp.","Equity","Toronto"
"CJ.TO","Cardinal Energy J","Equity","Toronto"
"CJR-B.TO","Corus Entrtmnt B","Equity","Toronto"
"CJT.TO","Cargojet Inc.","Equity","Toronto"
"CJT-A.TO","Cargojet Inc. VV","Equity","Toronto"
"CKE.TO","Chinook Energy Inc.","Equity","Toronto"
"CKI.TO","Clarke Inc.","Equity","Toronto"
"CLL.TO","Connacher Oil & Gas","Equity","Toronto"
"CLR.TO","Clearwater Seafoods","Equity","Toronto"
"CLS.TO","Celestica Inc SV","Equity","Toronto"
"CM.TO","Cdn Imperial Bank","Equity","Toronto"
"CMG.TO","Computer Modelling J","Equity","Toronto"
"CMH.TO","Carmanah Tech Corp.","Equity","Toronto"
"CML.TO","Canickel Mining J","Equity","Toronto"
"CMZ-UN.TO","COMPASS Incm Fund Un","Equity","Toronto"
"CNE.TO","Canacol Energy J","Equity","Toronto"
"CNL.TO","Continental Gold J","Equity","Toronto"
"CNQ.TO","Canadian Natural Res","Equity","Toronto"
"CNR.TO","Cdn Nat'l Railway","Equity","Toronto"
"CNU.TO","CNOOC Limited ADRs","Equity","Toronto"
"COM.TO","Cardiome Pharma Corp.","Equity","Toronto"
"COP.TO","Coro Mining Corp. J","Equity","Toronto"
"COS.TO","Cdn Oil Sands Ltd.","Equity","Toronto"
"COX-UN.TO","Coxe Commodity A Un","Equity","Toronto"
"CP.TO","Cdn Pacific Railway","Equity","Toronto"
"CPF-UN.TO","Cdn 50 Advan Pref Un","Equity","Toronto"
"CPG.TO","Crescent Point Corp.","Equity","Toronto"
"CPH.TO","Cipher Pharma J","Equity","Toronto"
"CPI.TO","Condor Petroleum J","Equity","Toronto"
"CPN.TO","Carpathian Gold J","Equity","Toronto"
"CPT.TO","Coalspur Mines Ord J","Equity","Toronto"
"CPX.TO","Capital Power Corp.","Equity","Toronto"
"CQE.TO","Cequence Energy Ltd.","Equity","Toronto"
"CR.TO","Crew Energy Inc.","Equity","Toronto"
"CRG.TO","Corona Gold Corp. J","Equity","Toronto"
"CRH.TO","CRH Medical Corp. J","Equity","Toronto"
"CRJ.TO","Claude Resources Inc.","Equity","Toronto"
"CRK.TO","Crocodile Gld Corp. J","Equity","Toronto"
"CRP.TO","Ceres Global Ag Corp.","Equity","Toronto"
"CRR-UN.TO","Crombie Real Est Un","Equity","Toronto"
"CRT-UN.TO","CT Rl Est Invest Un","Equity","Toronto"
"CS.TO","Capstone Mining J","Equity","Toronto"
"CSB-UN.TO","Cdn Banc Cap Sec Un","Equity","Toronto"
"CSE.TO","Capstone Infras Corp.","Equity","Toronto"
"CSH-UN.TO","Chartwell Retire Un","Equity","Toronto"
"CSU.TO","Constellation Softwr","Equity","Toronto"
"CSW-A.TO","Corby Spirit&Wine A","Equity","Toronto"
