"Code","Symbol","Industry","Board"
"MIC-SDB.ST","MILLICOM INT. CELL","Unknown","Stockholm"
"ALIV-SDB.ST","Autoliv","Unknown","Stockholm"
"EOS.ST","ENERGYO SOL RUSSIA","Unknown","Stockholm"
"BETS-B.ST","Betsson Ab","Unknown","Stockholm"
"SAAB-B.ST","Saab AB","Unknown","Stockholm"
"PREC.ST","Precise Biometrics Ab","Unknown","Stockholm"
"ASP.ST","Aspiro AB","Unknown","Stockholm"
"IMSG.ST","INTL MARK & SALES","Unknown","Stockholm"
"KAHL.ST","KappAhl Holding AB","Unknown","Stockholm"
"AUH.ST","AU HOLDING","Unknown","Stockholm"
"BEGR.ST","BE Group AB","Unknown","Stockholm"
"BINV.ST","Bioinvent International Ab","Unknown","Stockholm"
"GULD.ST","GULD INVEST NORDEN","Unknown","Stockholm"
"WIHL.ST","Wihlborgs Fastigheter AB","Unknown","Stockholm"
"INVE-A.ST","INVESTOR -A-","Unknown","Stockholm"
"COIL.ST","SVENSKA CAPITAL OIL","Unknown","Stockholm"
"MICR.ST","Micronic Laser System","Unknown","Stockholm"
"NEWA-B.ST","New Wave Group AB","Unknown","Stockholm"
"CAPE.ST","CAPERIO HOLDING","Unknown","Stockholm"
"BORE.ST","BOREVIND","Unknown","Stockholm"
"OPUS.ST","OPUS Prodox AB","Unknown","Stockholm"
"KMIN-B.ST","KOPPARBERG MINE -B-","Unknown","Stockholm"
"BEF-SDB.ST","BLACK EARTH FA SDB","Unknown","Stockholm"
"WISE.ST","WISE GROUP","Unknown","Stockholm"
"XTRA.ST","Xtranet Gruppen i Stockholm AB","Unknown","Stockholm"
"GGF.ST","GLOB GAMING FACT X","Unknown","Stockholm"
"MOD1.ST","Modul 1 Data AB","Unknown","Stockholm"
"MOBS.ST","MOBISPINE","Unknown","Stockholm"
"NET-B.ST","NET ENTERTAINM -B-","Unknown","Stockholm"
"SEB-C.ST","S-E-BANKEN -C-","Unknown","Stockholm"
"REZT.ST","Rezidor Hotel Group AB","Unknown","Stockholm"
"MULQ.ST","Multiq International AB","Unknown","Stockholm"
"NETR.ST","Netrevelation AB","Unknown","Stockholm"
"VKG.ST","VKG Energy Services AB","Unknown","Stockholm"
"CZON-B.ST","CRYPTZONE -B-","Unknown","Stockholm"
"KNOW.ST","Know IT AB","Unknown","Stockholm"
"FING-B.ST","Fingerprint Cards AB","Unknown","Stockholm"
"SCV-A.ST","SCANIA -A-","Unknown","Stockholm"
"BURE.ST","Bure Equity AB","Unknown","Stockholm"
"TIEN.ST","TietoEnator Oyj","Unknown","Stockholm"
"PROE-B.ST","Proffice AB","Unknown","Stockholm"
"ARTI-B.ST","Artimplant AB","Unknown","Stockholm"
"TRAD.ST","TradeDoubler AB","Unknown","Stockholm"
"UNIB-SDB.ST","Unibet Group Plc","Unknown","Stockholm"
"AXFO.ST","Axfood Ab","Unknown","Stockholm"
"EMTR.ST","Emitor Holding AB","Unknown","Stockholm"
"TILG.ST","Tilgin AB","Unknown","Stockholm"
"QMED.ST","Q Med AB","Unknown","Stockholm"
"ROSF-B.ST","ReadSoft AB","Unknown","Stockholm"
"ECEX.ST","EAST CAPITAL EXPLOR","Unknown","Stockholm"
"LIAB.ST","Lindab AB","Unknown","Stockholm"
"HUSQ-A.ST","HUSQVARNA","Unknown","Stockholm"
"ONE.ST","ONE MEDIA NETWORK","Unknown","Stockholm"
"SIGM-B.ST","Sigma Ab","Unknown","Stockholm"
"HPOL-B.ST","HEXPOL -B-","Unknown","Stockholm"
"NEO.ST","NeoNet AB","Unknown","Stockholm"
"47719.ST","MedCap AB","Unknown","Stockholm"
"FEEL.ST","Feelgood Svenska Ab","Unknown","Stockholm"
"43882.ST","Venue Retail Group AB","Unknown","Stockholm"
"TWW-SDB-B.ST","Transcom Worldwide SA","Unknown","Stockholm"
"JELL.ST","JELLO","Unknown","Stockholm"
"STEK.ST","Skanditek","Unknown","Stockholm"
"IMPC.ST","Impact Coatings AB","Unknown","Stockholm"
"46705.ST","Aqeri Holding AB","Unknown","Stockholm"
"NIBE-B.ST","Nibe AB","Unknown","Stockholm"
"WALL-B.ST","Wallenstam Byggn","Unknown","Stockholm"
"ICAP.ST","ICT NORD FASTIG","Unknown","Stockholm"
"RAY-B.ST","RaySearch Laboratories AB","Unknown","Stockholm"
"TELC-B.ST","Teleca Ab","Unknown","Stockholm"
"PCOM-B.ST","PRECOMP SOLUTI -B-","Unknown","Stockholm"
"MCRO.ST","Micro Holding AB","Unknown","Stockholm"
"HOGA-B.ST","Hoganas","Unknown","Stockholm"
"BIOT.ST","BIOTAGE","Unknown","Stockholm"
"BMIM.ST","B&M IMPEX","Unknown","Stockholm"
"HLDX.ST","Haldex AB","Unknown","Stockholm"
"47940.ST","CAPILON","Unknown","Stockholm"
"AAK.ST","Aarhus Karlshamn","Unknown","Stockholm"
"TRIA.ST","TRIMERA","Unknown","Stockholm"
"CATH-B.ST","CATECH -B-","Unknown","Stockholm"
"WSAB-B.ST","WHITE SHARK -B-","Unknown","Stockholm"
"MSON-B.ST","MIDELFART SONES -B-","Unknown","Stockholm"
"NOLA-B.ST","Nolato AB","Unknown","Stockholm"
"CYBE.ST","Cybercom Group Europe Ab","Unknown","Stockholm"
"DIAM-B.ST","Diamyd Medical AB","Unknown","Stockholm"
"SEMC.ST","Semcon AB","Unknown","Stockholm"
"LINE-B.ST","LINEAR -B-","Unknown","Stockholm"
"MTRS.ST","Munters AB","Unknown","Stockholm"
"SHB-B.ST","SV HANDBK -B-","Unknown","Stockholm"
"ACAN-B.ST","Acando AB","Unknown","Stockholm"
"GUNN.ST","Gunnebo AB","Unknown","Stockholm"
"PVE.ST","PV ENTERPRISE SWED","Unknown","Stockholm"
"FUND.ST","FUNDIOR","Unknown","Stockholm"
"SOF-B.ST","Softronic AB","Unknown","Stockholm"
"HIQ.ST","HiQ International AB","Unknown","Stockholm"
"BRO-B.ST","Brostrom AB","Unknown","Stockholm"
"SEAN-BTA-1.ST","SEANET MARIT I09/1","Unknown","Stockholm"
"ORES.ST","Investment Ab Oresund","Unknown","Stockholm"
"HAM-B.ST","HAMMAR INVEST -B-","Unknown","Stockholm"
"GIFT.ST","GIFTTODAY","Unknown","Stockholm"
"NOMI.ST","NORDIC MINES","Unknown","Stockholm"
"SKF-A.ST","SKF -A-","Unknown","Stockholm"
"CBA.ST","CYBAERO","Unknown","Stockholm"
"AF-B.ST","AF AB","Unknown","Stockholm"
"TAGR.ST","TRIGON AGRI","Unknown","Stockholm"
"ACCE-B.ST","Accelerator i Linkoping AB","Unknown","Stockholm"
"CCOR-B.ST","Concordia Maritime AB","Unknown","Stockholm"
"CPNT.ST","CELLPOINT CONNECT","Unknown","Stockholm"
"TAGM-B.ST","TagMaster AB","Unknown","Stockholm"
"TETY.ST","Tethys Oil AB","Unknown","Stockholm"
"ARCH-B.ST","ARCHELON MINERA -B-","Unknown","Stockholm"
"AQLV.ST","AQUALIV","Unknown","Stockholm"
"HAKN.ST","Hakon Invest AB","Unknown","Stockholm"
"HOB-B.ST","HEART OF BRANDS -B-","Unknown","Stockholm"
"SCA-A.ST","SVENSKA CELLULOSA-A","Unknown","Stockholm"
"IFS-B.ST","Industrial & Financial Sy","Unknown","Stockholm"
"NN-B.ST","Nordnet Ab","Unknown","Stockholm"
"RURI-B.ST","Russian Real Estate Investment Co.","Unknown","Stockholm"
"LUCE.ST","LUCENT OIL","Unknown","Stockholm"
"WIKM.ST","WIKING MINERAL","Unknown","Stockholm"
"TAUR-B.ST","TAURUS ENERGY -B-","Unknown","Stockholm"
"ACTI.ST","Active Biotech AB","Unknown","Stockholm"
"TIGR.ST","TIGRAN TECHNOLOG.","Unknown","Stockholm"
"CNTA.ST","Connecta AB","Unknown","Stockholm"
"STVA-B.ST","STAR VAULT -B-","Unknown","Stockholm"
"TPEP.ST","Tripep Holding AB","Unknown","Stockholm"
"GIM.ST","GETUPDATED INT MKT","Unknown","Stockholm"
"SCRI-B.ST","SCRIBONA -B-","Unknown","Stockholm"
"ENEA.ST","Enea Ab","Unknown","Stockholm"
"BLIN.ST","Biolin Ab","Unknown","Stockholm"
"BILI-A.ST","Bilia AB","Unknown","Stockholm"
"CARD.ST","Cardo AB","Unknown","Stockholm"
"SMAQ-B.ST","Smarteq AB","Unknown","Stockholm"
"ORX.ST","Orexo AB","Unknown","Stockholm"
"PREV-B.ST","Prevas AB","Unknown","Stockholm"
"JLT.ST","Jlt Mobile Computers Ab","Unknown","Stockholm"
"RBET.ST","Redbet Holding AB","Unknown","Stockholm"
"RABT-B.ST","Rederi AB Transatlantic","Unknown","Stockholm"
"RUN.ST","RUNAWARE","Unknown","Stockholm"
"BIOG-B.ST","Biogaia Ab","Unknown","Stockholm"
"EDIC-B.ST","EDI COMP","Unknown","Stockholm"
"ENDO.ST","ENDOMINES","Unknown","Stockholm"
"NSP-B.ST","Nordic Service Partners Holding AB","Unknown","Stockholm"
"CAPL.ST","CATERING PL I SKAND","Unknown","Stockholm"
"ANOD-B.ST","AddNode AB","Unknown","Stockholm"
"SYSE.ST","SYSTEMSEPARATION","Unknown","Stockholm"
"ODD.ST","ODD MOLLY INT","Unknown","Stockholm"
"EVIP-B.ST","EUROVIP GROUP -B-","Unknown","Stockholm"
"AZA.ST","Avanza Bank Holding AB","Unknown","Stockholm"
"LBI.ST","LBI International AB","Unknown","Stockholm"
"SCMI-BTA-1.ST","SCANMINING I07 -1-","Unknown","Stockholm"
"PRCO-B.ST","PRECIO SYS -B-","Unknown","Stockholm"
"SERS-B.ST","SWEDE RESOURCES -B-","Unknown","Stockholm"
"BBTO-B.ST","B&B TOOLS AB","Unknown","Stockholm"
"EUCI.ST","EUROCINE VACCINES","Unknown","Stockholm"
"FPIP.ST","FormPipe Software AB","Unknown","Stockholm"
"BORG.ST","Bjorn Borg AB","Unknown","Stockholm"
"PART.ST","Partner Tech","Unknown","Stockholm"
"AERO-B.ST","AEROCRINE -B-","Unknown","Stockholm"
"OPCO.ST","Opcon AB","Unknown","Stockholm"
"ELN.ST","ELLEN","Unknown","Stockholm"
"HEMX.ST","Hemtex AB","Unknown","Stockholm"
"INTO-B.ST","Intoi AB","Unknown","Stockholm"
"CLAS-B.ST","Clas Ohlson Ab","Unknown","Stockholm"
