"Code","Symbol","Industry","Board"
"ZTS.BR","Zetes Industries SA","Unknown","Brussels"
"ERYS.BR","ERYPLAST STRIP","Unknown","Brussels"
"ART.BR","Arthur SA","Unknown","Brussels"
"ICE.BR","ICE CONCEPT","Unknown","Brussels"
"SOLV.BR","Solvac SA","Unknown","Brussels"
"ARCH.BR","ARCHIMEDE","Unknown","Brussels"
"PIC.BR","Picanol","Unknown","Brussels"
"DEFB.BR","Deficom Group SA","Unknown","Brussels"
"PROP.BR","PROPHAREX","Unknown","Brussels"
"NEWT.BR","NEWTREE","Unknown","Brussels"
"VSLI.BR","VSL INTERNATIONAL","Unknown","Brussels"
"IMO.BR","IMPERIAL OIL IDR","Unknown","Brussels"
"VPKB.BR","VPK Packaging Group SA","Unknown","Brussels"
"DUV.BR","Duvel Moortgat","Unknown","Brussels"
"BANI.BR","BANIMMO","Unknown","Brussels"
"ECOD.BR","ECODIS","Unknown","Brussels"
"BANIS.BR","BANIMMO STRIP","Unknown","Brussels"
"FIX.BR","FIXINOX","Unknown","Brussels"
"SUCR.BR","Sucraf","Unknown","Brussels"
"FINE.BR","FINEST","Unknown","Brussels"
"ERY.BR","ERYPLAST","Unknown","Brussels"
"CAT.BR","Catala","Unknown","Brussels"
"NTON.BR","NEWTON 21 EUROPE","Unknown","Brussels"
"PTXS.BR","PUNCH TELEMAT.STRIP","Unknown","Brussels"
"CAMB.BR","Campine SA","Unknown","Brussels"
"IRIS.BR","Iris (Image Recognit integra","Unknown","Brussels"
"COMB.BR","Cie Bois Sauvage","Unknown","Brussels"
"RES.BR","Resilux","Unknown","Brussels"
"VGPS.BR","VGP STRIP VVPR","Unknown","Brussels"
"THI.BR","Think Media Nv","Unknown","Brussels"
"UNI.BR","U & I LEARNING","Unknown","Brussels"
"KBCSN.BR","KBC GR.STRIP JCE 09","Unknown","Brussels"
"OXB.BR","OXBRIDGE","Unknown","Brussels"
"BELU.BR","Beluga SA","Unknown","Brussels"
"TEAM.BR","TEAM.INTERN.MARKET.","Unknown","Brussels"
"SAP.BR","Sapec SA","Unknown","Brussels"
"FOY.BR","Foyer SA","Unknown","Brussels"
"VIT.BR","VISION IT GROUP","Unknown","Brussels"
"VGP.BR","VGP","Unknown","Brussels"
"FIXS.BR","FIXINOX STRIP","Unknown","Brussels"
