"Code","Symbol","Industry","Board"
"HART.CO","Brodrene Hartman","Unknown","Copenhagen"
"AMBU-B.CO","Ambu International","Unknown","Copenhagen"
"CARL-A.CO","CARLSBERG -A-","Unknown","Copenhagen"
"ALTA.CO","Atlantic petroleum","Unknown","Copenhagen"
"SPG.CO","SP Group A/S","Unknown","Copenhagen"
"SPB.CO","Sparbank AS","Unknown","Copenhagen"
"ENALYZ.CO","ENALYZER","Unknown","Copenhagen"
"EBH.CO","EBH bank","Unknown","Copenhagen"
"41932.CO","INV STO RETAIL","Unknown","Copenhagen"
"39339.CO","ESOFT SYSTEMS","Unknown","Copenhagen"
"PAAL-B.CO","Per Aarsleff A/S","Unknown","Copenhagen"
"ZEPTO.CO","ZEPTO COMPUTERS","Unknown","Copenhagen"
"DANV.CO","DANVENTURES","Unknown","Copenhagen"
"ATHENA.CO","ATHENA IT-GROUP","Unknown","Copenhagen"
"TMCOM.CO","TRAVELMARKET","Unknown","Copenhagen"
"HOEJ-B.CO","HOEJGAARD HOLD -B-","Unknown","Copenhagen"
"DFOLD.CO","DANFOLD","Unknown","Copenhagen"
"DFDS.CO","DFDS A/S","Unknown","Copenhagen"
"RILBA.CO","Ringkjobing Landbobank","Unknown","Copenhagen"
"BOCON-B.CO","BoConcept Holding AS","Unknown","Copenhagen"
"MOLS.CO","MOLS-LINIEN","Unknown","Copenhagen"
"SAT.CO","Satair A/S","Unknown","Copenhagen"
"REN.CO","RENEWAGY","Unknown","Copenhagen"
"IGHS2-B.CO","INVEST GERHISTII-B-","Unknown","Copenhagen"
"NRDC.CO","Nordicom A/S","Unknown","Copenhagen"
"FO-EIK.CO","EIK BANK","Unknown","Copenhagen"
"PARKEN.CO","Parken Sport & Entertainment A/S","Unknown","Copenhagen"
"MAERSK-A.CO","AP MOELLER-MAERS-A-","Unknown","Copenhagen"
"MT-B.CO","Monberg & Thorsen A/S","Unknown","Copenhagen"
"DKTI.CO","DK TRENDS INVEST","Unknown","Copenhagen"
"SIFB.CO","Sif Fodbold Support","Unknown","Copenhagen"
"ALMBF-B.CO","Alm Brand Formue","Unknown","Copenhagen"
"AOJ-P.CO","Brdr A & O Johansen A/S","Unknown","Copenhagen"
"KLIMA.CO","KLIMAINVEST","Unknown","Copenhagen"
"SKLS.CO","Skaelskor Bank","Unknown","Copenhagen"
"LAST-B.CO","Lastas","Unknown","Copenhagen"
"NRSU.CO","NORRESUNBY BK","Unknown","Copenhagen"
"AM-B.CO","Andersen & Martini","Unknown","Copenhagen"
"HVETBO.CO","SPAREKASSEN HVETBO","Unknown","Copenhagen"
"PRIMOF.CO","PRIME OFFICE","Unknown","Copenhagen"
"SANI-B.CO","Sanistaal","Unknown","Copenhagen"
"UIE.CO","United International Enterprises","Unknown","Copenhagen"
"LOLB.CO","Lollands Bank A/S","Unknown","Copenhagen"
"DANT.CO","Dantax AS","Unknown","Copenhagen"
"GPV-B.CO","GPV Industri A/S","Unknown","Copenhagen"
"AARHUS.CO","AARHUS LOKALBK","Unknown","Copenhagen"
