"Code","Symbol","Industry","Board"
"ALEHT.PA","Exonhit Therapeutics SA","Unknown","Paris"
"RIA.PA","Steria (Groupe)","Unknown","Paris"
"ING.PA","Ingenico SA","Unknown","Paris"
"EEN.PA","EDF Energies Nouvelles SA","Unknown","Paris"
"MDL.PA","ModeLabs SA","Unknown","Paris"
"10120346.PA","TNU -S-","Unknown","Paris"
"NTG.PA","Netgem SA","Unknown","Paris"
"RF.PA","Eurazeo SA","Unknown","Paris"
"0010060665.PA","ModeLabs SA","Unknown","Paris"
"BB.PA","BIC","Unknown","Paris"
"RX.PA","Recylex SA","Unknown","Paris"
"IPS.PA","Ipsos SA","Unknown","Paris"
"FDR.PA","Fonciere des Regions","Unknown","Paris"
"BIM.PA","Biomerieux Inc","Unknown","Paris"
"GFC.PA","GECINA SA","Unknown","Paris"
"VOR.PA","Sequana","Unknown","Paris"
"MLDSH.PA","SMALTO","Unknown","Paris"
"FPG.PA","Uti (Union Techn Inform","Unknown","Paris"
"6491.PA","La Perla World","Unknown","Paris"
"RCO.PA","Remy Cointreau","Unknown","Paris"
"MERY.PA","Mercialys Promesse","Unknown","Paris"
"VLS.PA","VIVALIS","Unknown","Paris"
"ICAD.PA","ICADE SA","Unknown","Paris"
"CRI.PA","Chargeurs SA","Unknown","Paris"
"GNG.PA","Ginger SA","Unknown","Paris"
"03508.PA","ICADE SA","Unknown","Paris"
"ATE.PA","Alten SA","Unknown","Paris"
"BST.PA","Bac Majestic","Unknown","Paris"
"BEN.PA","Beneteau SA","Unknown","Paris"
"7668.PA","Overlap Groupe","Unknown","Paris"
"SECH.PA","Sechilienne Sidec","Unknown","Paris"
"EUR.PA","Euro Ressources SA","Unknown","Paris"
"ALADO.PA","Adomos","Unknown","Paris"
"ORP.PA","Orpea SA","Unknown","Paris"
"ERA.PA","Eramet SA","Unknown","Paris"
"AL185.PA","1855 SA","Unknown","Paris"
"DAN.PA","Dane Elec Memory","Unknown","Paris"
"RAL.PA","Rallye SA","Unknown","Paris"
"CBD.PA","Cyberdeck SA","Unknown","Paris"
"ALIDA.PA","Loyaltouch S.A.","Unknown","Paris"
"CRL.PA","Mersen S.A.","Unknown","Paris"
"RIB.PA","Riber SA","Unknown","Paris"
"IFG.PA","INFOGRAMES ENT.RGPT","Unknown","Paris"
"PIG.PA","Haulotte Group","Unknown","Paris"
"METEX.PA","METABOLIC EXPL.","Unknown","Paris"
"ORC.PA","Orco Property Group SA","Unknown","Paris"
"CER.PA","Cerep SA","Unknown","Paris"
"OLV.PA","Solving Efeso International S.A.","Unknown","Paris"
"ERF.PA","Eurofins Scientific SA","Unknown","Paris"
"EDL.PA","EURO DISNEY RGPT","Unknown","Paris"
"ABCA.PA","ABC Arbitrage S.A.","Unknown","Paris"
"VCT.PA","Vicat SA","Unknown","Paris"
"LAX.PA","Stelax","Unknown","Paris"
"GFI.PA","GFI Informatique SA","Unknown","Paris"
"LSS.PA","Lectra SA","Unknown","Paris"
"ALHYG.PA","HYBRIGENICS A-","Unknown","Paris"
"ALDV.PA","Alliance Developpement Capital","Unknown","Paris"
"ALVER.PA","VERGNET","Unknown","Paris"
"APR.PA","April Group SA","Unknown","Paris"
"ELE.PA","Euler Hermes SA","Unknown","Paris"
"ACAN.PA","Acanthe Developpement SA","Unknown","Paris"
"BIO.PA","BioAlliance Pharma SA","Unknown","Paris"
"CES.PA","Cameleon Software S.A.","Unknown","Paris"
"MLATP.PA","ATI PETROLEUM","Unknown","Paris"
"ARR.PA","Société des Autoroutes Paris-Rhin-Rhône","Unknown","Paris"
"ZIF.PA","Zublin Immobiliere France","Unknown","Paris"
"IPH.PA","Innate Pharma","Unknown","Paris"
"POM.PA","Plastic Omnium SA","Unknown","Paris"
"LTA.PA","Altamir Amboise SA","Unknown","Paris"
"CMA.PA","Ciments Francais SA","Unknown","Paris"
"SIL.PA","Silic SA","Unknown","Paris"
"NOV.PA","ANOVO REGPT.","Unknown","Paris"
"BRS.PA","Boursorama SA","Unknown","Paris"
"OMA.PA","CORN","Unknown","Paris"
"LAC.PA","LACIE SA","Unknown","Paris"
"SQI.PA","SQLI","Unknown","Paris"
"DLT.PA","Dalet SA","Unknown","Paris"
"ALITS.PA","International Technologie Selection SA","Unknown","Paris"
"MLEUP.PA","Europlasma","Unknown","Paris"
"TRI.PA","Trigano SA","Unknown","Paris"
"LTE.PA","Valtech SA","Unknown","Paris"
"RUI.PA","Rubis","Unknown","Paris"
"TNG.PA","Transgene SA","Unknown","Paris"
"ALEGR.PA","SafeTIC S.A.","Unknown","Paris"
"ECP.PA","EUROPACORP","Unknown","Paris"
"MTU.PA","Manitou","Unknown","Paris"
"GENP.PA","Stallergenes","Unknown","Paris"
"LEY.PA","Faiveley Transport S.A.","Unknown","Paris"
"SPR.PA","Sperian Protection SA","Unknown","Paris"
"FFP.PA","FFP","Unknown","Paris"
"ASY.PA","Assystem","Unknown","Paris"
"AVQ.PA","Avanquest Software S.A.","Unknown","Paris"
"OMT.PA","OUTREMER TELECOM","Unknown","Paris"
"GENX.PA","GENERIX RGPT","Unknown","Paris"
"PARRO.PA","Parrot","Unknown","Paris"
"CV.PA","ZCI","Unknown","Paris"
"LAT.PA","Latecoere SA","Unknown","Paris"
"SLG.PA","SeLoger.com","Unknown","Paris"
"MLION.PA","LIONAX INTL INVT","Unknown","Paris"
"UDIS.PA","U10 SA","Unknown","Paris"
"ESRP.PA","Esr (Expertise System Res)","Unknown","Paris"
"MLMAN.PA","Mandriva SA","Unknown","Paris"
"MLGLO.PA","Global Interface SA","Unknown","Paris"
"IME.PA","La Perla World","Unknown","Paris"
"SESL.PA","Store Electronic Systems","Unknown","Paris"
"GUI.PA","Guillemot Corporation","Unknown","Paris"
"MEMS.PA","MEMSCAP SA","Unknown","Paris"
